FlowCell Text Data File: 230207_sample5.csv
Software Version: 2.00Q
Triax Firmware Version: 0.43
Fractionator Firmware Version 4.207
Date: 2023-02-07
Time: 17:27:02
User: Riyaz Shah

Experiment name: 

*** CENTRIFUGE SETTINGS ***
Rotor Manufacturer: Sorvall/Thermo/Fisher
Rotor Model: TH-641
Speed: 38 rpm
Gradient: sucrose 10.0% to 50.0% v/v
Time: 2.0
w2t:  x 10^0
Number of Tubes: 2
Sample Volume: 0.5 ml
Temperature: 4.0 deg C

*** FRACTIONATION SETTINGS ***
Volume displaced/mm: 0.143 ml/mm
Tubing length: 290 mm
Total Dead Volume (= last fraction): 0.299 ml
Scan Speed: 0.20 mm/sec
Total Distance: 78.3 mm
Upper Limit to Slow-down Distance: 43.90 mm
Start mode: Meniscus sensing
Fail-safe Distance (M): 8 mm
Number of fractions: 10
Distance/fraction: 7.83 mm
Start Distance: 0.00 mm
Volume/fraction: 1.117 ml
Data Samples/mm: 22.94

*** SCANNING SETTINGS ***
Scanning mode: SINGLE UV OD
Channel A (LED1) Wavelength: 260 nm
Sensitivity: 0
Integration time: 218 ms
Averaging: 1 samples
LED1 (260 nm) On Time: 10 ms
Sample A Zero: 466075
Source A Zero: 105609.6

Data Columns:
Sample, Source, Position(mm), Absorbance, Fraction Number, Fraction Volume(ml)
438011.690, 100830.143, 12.71, 0.035528, , 
440379.095, 100816.667, 12.75, 0.023097, , 
443267.381, 100960.619, 12.79, 0.011596, , 
445020.310, 101002.024, 12.83, 0.003637, , 
446250.595, 100952.524, 12.87, -0.003679, , 
448392.405, 100954.238, 12.92, -0.014416, , 
451404.476, 100990.000, 12.96, -0.028686, , 
452790.643, 100984.429, 13.00, -0.035710, , 
453992.524, 100952.262, 13.04, -0.042393, , 
456629.167, 100952.786, 13.09, -0.055413, , 
458765.286, 100938.143, 13.13, -0.066243, , 
460941.762, 100909.500, 13.17, -0.077532, , 
462070.643, 100920.048, 13.21, -0.082802, , 
461848.643, 100872.214, 13.26, -0.082787, , 
463743.476, 100928.095, 13.30, -0.090755, , 
465909.738, 100897.833, 13.34, -0.101918, , 
466499.952, 100883.619, 13.38, -0.105084, , 
467541.810, 100921.048, 13.42, -0.109270, , 
469573.024, 100967.595, 13.47, -0.117988, , 
470412.571, 100913.095, 13.51, -0.123223, , 
472637.714, 100952.476, 13.55, -0.132964, , 
473757.024, 100910.024, 13.59, -0.139234, , 
473412.262, 100950.857, 13.64, -0.136685, , 
475433.476, 100961.857, 13.68, -0.146028, , 
477089.333, 100954.500, 13.72, -0.154016, , 
478082.714, 101017.333, 13.76, -0.157297, , 
